ahora,11224
pronto,7602
hoy,6549
mañana,5034
el_día,3411
ayer,1421
al_día_siguiente,1353
del_día,1334
julio,1229
este_momento,1046
próximo,893
próxima,797
domingo,661
ahora_mismo,644
actual,438
el_año,356
el_día_siguiente,329
invierno,318
estos_momentos,315
hoy_mismo,295
domingos,264
al_siguiente_día,261
reciente,247
la_primavera,233
primavera,232
la_semana,227
mañana_mismo,224
del_año,222
próximos,219
mayo,210
el_día_anterior,208
el_domingo,200
próximas,192
actualmente,186
el_mismo_día,185
verano,183
estos_días,169
el_invierno,160
del_siglo,150
del_día_siguiente,149
este_día,139
el_sábado,120
diciembre,107
el_futuro,107
abril,107
los_veinte,105
recientemente,105
medio_día,98
ese_mismo_día,96
octubre,95
