cada_día,795
todos_los_días,791
diariamente,481
todas_las_noches,320
diario,179
diaria,167
todas_las_mañanas,166
todas_las_tardes,158
al_día,150
diarias,119
diarios,113
cada_mes,96
cada_año,79
mensuales,77
al_mes,76
al_año,71
al_mediodía,59
cada_semana,59
cada_noche,58
mensual,55
anuales,48
todos_los_años,44
todos_los_domingos,42
anual,38
anualmente,34
todos_los_sábados,24
cada_ocho_días,24
cada_mañana,23
dos_veces_al_día,21
dos_veces_por_semana,20
mensualmente,20
todos_los_meses,19
todas_las_semanas,17
todos_los_siglos,16
una_vez_por_semana,15
semanal,14
al_siglo,13
cada_domingo,13
una_vez_al_año,10
dos_veces_a_la_semana,9
semanalmente,9
cada_quince_días,9
cada_tarde,8
cada_dos_meses,7
todos_los_jueves,6
cada_sábado,6
todos_los_viernes,5
una_vez_al_día,5
cada_dos_días,5
todos_los_lunes,4
